epoch,accuracy,loss,mAP,val_accuracy,val_loss,val_mAP
1,0.3104761838912964,2.059329032897949,,0.4144444465637207,1.6216143369674683,
2,0.4328571557998657,1.612447738647461,,0.44777777791023254,1.5349847078323364,
3,0.4659523665904999,1.465104341506958,,0.46444445848464966,1.4950544834136963,
4,0.5019047856330872,1.3750414848327637,,0.46666666865348816,1.4842520952224731,
5,0.5180952548980713,1.3141602277755737,,0.4555555582046509,1.4825389385223389,
6,0.5440475940704346,1.2578297853469849,,0.46000000834465027,1.4816726446151733,
7,0.5473809242248535,1.2012046575546265,,0.4555555582046509,1.4727869033813477,
8,0.563095211982727,1.1738609075546265,,0.46222221851348877,1.4919326305389404,
9,0.583809494972229,1.149214744567871,,0.47111111879348755,1.4908446073532104,
10,0.5866666436195374,1.0945394039154053,,0.4555555582046509,1.5100845098495483,
11,0.6245238184928894,1.0183528661727905,,0.4533333480358124,1.5037764310836792,
12,0.6295238137245178,0.9909726977348328,,0.46222221851348877,1.5077176094055176,
13,0.6326190233230591,0.9746997356414795,,0.46000000834465027,1.5112560987472534,
14,0.6390476226806641,0.9591720104217529,,0.4611110985279083,1.5088659524917603,
15,0.6538095474243164,0.9373567700386047,,0.46222221851348877,1.5091063976287842,
16,0.6414285898208618,0.9372021555900574,,0.4611110985279083,1.5097154378890991,
17,0.6583333611488342,0.9217640161514282,,0.46222221851348877,1.5101531744003296,
18,0.6650000214576721,0.9213472604751587,,0.46000000834465027,1.5118646621704102,
19,0.6609523892402649,0.9236462116241455,,0.46000000834465027,1.5131990909576416,
20,0.665238082408905,0.9169560670852661,,0.46000000834465027,1.5133532285690308,
21,0.6600000262260437,0.9118000864982605,,0.4611110985279083,1.512068271636963,
22,0.645714282989502,0.9420225024223328,,0.4588888883590698,1.5144847631454468,
23,0.6530952453613281,0.9180888533592224,,0.46000000834465027,1.5123823881149292,
24,0.6502380967140198,0.9218774437904358,,0.46000000834465027,1.5134546756744385,
25,0.6554762125015259,0.9271779656410217,,0.4588888883590698,1.5111141204833984,
26,0.6514285802841187,0.9181016087532043,,0.4588888883590698,1.5106701850891113,
27,0.6559523940086365,0.9166043400764465,,0.4588888883590698,1.5112314224243164,
28,0.6571428775787354,0.9093577861785889,,0.4611110985279083,1.5124216079711914,
29,0.6616666913032532,0.9105768799781799,,0.46000000834465027,1.512165904045105,
30,0.6616666913032532,0.9093755483627319,,0.4611110985279083,1.512906551361084,
31,0.6659523844718933,0.9097487330436707,,0.4588888883590698,1.513495683670044,
32,0.6526190638542175,0.919685423374176,,0.4555555582046509,1.5150161981582642,
33,0.6535714268684387,0.9278691411018372,,0.4566666781902313,1.513379454612732,
34,0.6547619104385376,0.9181851148605347,,0.46000000834465027,1.5129719972610474,
35,0.6609523892402649,0.9031214714050293,,0.4577777683734894,1.5125643014907837,
36,0.6564285755157471,0.9164690375328064,,0.46000000834465027,1.5117524862289429,
37,0.6578571200370789,0.9188486933708191,,0.4577777683734894,1.513777256011963,
38,0.6590476036071777,0.9195853471755981,,0.4577777683734894,1.5132540464401245,
39,0.6526190638542175,0.9104238748550415,,0.4566666781902313,1.5114011764526367,
40,0.6471428275108337,0.9278113842010498,,0.4611110985279083,1.510594129562378,
41,0.6549999713897705,0.9128714799880981,,0.46222221851348877,1.5120561122894287,
42,0.6633333563804626,0.9060129523277283,,0.4611110985279083,1.5107825994491577,
43,0.6552380919456482,0.9272634983062744,,0.4611110985279083,1.5143190622329712,
44,0.6602380871772766,0.918317973613739,,0.46000000834465027,1.5118550062179565,
45,0.6647619009017944,0.9082040786743164,,0.46000000834465027,1.5139964818954468,
46,0.6573809385299683,0.9176792502403259,,0.4577777683734894,1.5111926794052124,
47,0.6549999713897705,0.9181897640228271,,0.46222221851348877,1.5110570192337036,
48,0.6566666960716248,0.9112735390663147,,0.4566666781902313,1.5118613243103027,
49,0.6509523987770081,0.920392632484436,,0.4566666781902313,1.5123088359832764,
50,0.6585714221000671,0.9205259084701538,,0.4588888883590698,1.512597680091858,
