epoch,accuracy,loss,mAP,val_accuracy,val_loss,val_mAP
1,0.31214284896850586,2.538074254989624,,0.42444443702697754,1.7382766008377075,
2,0.409761905670166,1.9005039930343628,,0.4744444489479065,1.6842153072357178,
3,0.4569047689437866,1.5978301763534546,,0.4422222077846527,1.6505879163742065,
4,0.4895237982273102,1.4526103734970093,,0.45222222805023193,1.657265305519104,
5,0.5257142782211304,1.3210800886154175,,0.44555556774139404,1.6169705390930176,
6,0.5404762029647827,1.2656346559524536,,0.4555555582046509,1.6119403839111328,
7,0.5511904954910278,1.2185217142105103,,0.44555556774139404,1.608150601387024,
8,0.5714285969734192,1.1545076370239258,,0.44555556774139404,1.6447124481201172,
9,0.5785714387893677,1.1321871280670166,,0.4399999976158142,1.671531081199646,
10,0.5873809456825256,1.1144161224365234,,0.4399999976158142,1.65232515335083,
11,0.6435714364051819,0.9700489044189453,,0.4377777874469757,1.6174700260162354,
12,0.6416666507720947,0.9380284547805786,,0.4466666579246521,1.6346956491470337,
13,0.6633333563804626,0.9061492681503296,,0.45444443821907043,1.6546858549118042,
14,0.666190505027771,0.8864587545394897,,0.44555556774139404,1.6560935974121094,
15,0.6704761981964111,0.8587614297866821,,0.44777777791023254,1.6555875539779663,
16,0.6683333516120911,0.865097165107727,,0.448888897895813,1.6608619689941406,
17,0.689047634601593,0.8406073451042175,,0.4555555582046509,1.6646463871002197,
18,0.6861904859542847,0.8392789959907532,,0.44555556774139404,1.664202094078064,
19,0.6773809790611267,0.8263698220252991,,0.44777777791023254,1.6605675220489502,
20,0.6847618818283081,0.8277773261070251,,0.4533333480358124,1.6649609804153442,
21,0.6942856907844543,0.8219302892684937,,0.4555555582046509,1.66420316696167,
22,0.688095211982727,0.8180655837059021,,0.4533333480358124,1.6691749095916748,
23,0.6926190257072449,0.821488618850708,,0.4533333480358124,1.663040041923523,
24,0.6885714530944824,0.8212637305259705,,0.4511111080646515,1.6618428230285645,
25,0.6926190257072449,0.8157644271850586,,0.45222222805023193,1.6663234233856201,
26,0.6916666626930237,0.820915699005127,,0.4511111080646515,1.6650470495224,
27,0.6926190257072449,0.8228676915168762,,0.44999998807907104,1.6614607572555542,
28,0.6885714530944824,0.8271163105964661,,0.448888897895813,1.6641674041748047,
29,0.6954761743545532,0.8308340311050415,,0.448888897895813,1.662422776222229,
30,0.6823809742927551,0.8416838645935059,,0.448888897895813,1.6667530536651611,
31,0.6985714435577393,0.8185665607452393,,0.4533333480358124,1.6642582416534424,
32,0.6949999928474426,0.8197061419487,,0.45444443821907043,1.6679654121398926,
33,0.691428542137146,0.8271563053131104,,0.45222222805023193,1.6652135848999023,
34,0.6933333277702332,0.832021176815033,,0.45222222805023193,1.663099765777588,
35,0.692380964756012,0.8068093657493591,,0.4533333480358124,1.6659986972808838,
36,0.6871428489685059,0.8303259611129761,,0.448888897895813,1.6652292013168335,
37,0.6871428489685059,0.8240187764167786,,0.4466666579246521,1.6674551963806152,
38,0.6885714530944824,0.8250666260719299,,0.44777777791023254,1.666568636894226,
39,0.6904761791229248,0.8273899555206299,,0.44999998807907104,1.6668933629989624,
40,0.682619035243988,0.8281232714653015,,0.448888897895813,1.6652557849884033,
41,0.6814285516738892,0.8339839577674866,,0.44999998807907104,1.6669987440109253,
42,0.6957142949104309,0.8286755084991455,,0.4511111080646515,1.668205976486206,
43,0.6828571557998657,0.840129554271698,,0.448888897895813,1.6658138036727905,
44,0.6959523558616638,0.8229610919952393,,0.4511111080646515,1.6635349988937378,
45,0.6838095188140869,0.8327898979187012,,0.4511111080646515,1.664250135421753,
46,0.6842857003211975,0.8337208032608032,,0.45222222805023193,1.6649619340896606,
47,0.6852381229400635,0.824922502040863,,0.4533333480358124,1.664604663848877,
48,0.691428542137146,0.8131197690963745,,0.4511111080646515,1.665521264076233,
49,0.6883333325386047,0.8164041638374329,,0.4511111080646515,1.6642849445343018,
50,0.6897618770599365,0.8313237428665161,,0.45444443821907043,1.6659940481185913,
