epoch,accuracy,loss,val_accuracy,val_loss
1,0.27714285254478455,2.2718629837036133,0.41777777671813965,1.7017359733581543
2,0.3638095259666443,1.8484554290771484,0.4322222173213959,1.625228762626648
3,0.4102380871772766,1.669542908668518,0.4188888967037201,1.6275780200958252
4,0.4402380883693695,1.5637274980545044,0.43666666746139526,1.5870609283447266
5,0.4747619032859802,1.4866702556610107,0.4422222077846527,1.587119460105896
6,0.4938095211982727,1.433570146560669,0.4355555474758148,1.5675626993179321
7,0.5071428418159485,1.3785128593444824,0.4422222077846527,1.5634937286376953
8,0.5133333206176758,1.3480563163757324,0.4422222077846527,1.5738810300827026
9,0.5278571248054504,1.3194915056228638,0.44555556774139404,1.5578817129135132
10,0.5366666913032532,1.2882640361785889,0.43888887763023376,1.579007863998413
11,0.5373809337615967,1.266588807106018,0.43666666746139526,1.5789538621902466
12,0.5464285612106323,1.2515263557434082,0.4277777671813965,1.5629222393035889
13,0.5797619223594666,1.1522526741027832,0.4355555474758148,1.5465779304504395
14,0.5795238018035889,1.127612590789795,0.43111109733581543,1.5530049800872803
15,0.5773809552192688,1.1265919208526611,0.43444445729255676,1.55243980884552
16,0.5892857313156128,1.1103708744049072,0.4277777671813965,1.5425254106521606
17,0.598809540271759,1.089536190032959,0.4277777671813965,1.552066683769226
18,0.604285717010498,1.0865974426269531,0.43666666746139526,1.5535258054733276
19,0.6061905026435852,1.0757169723510742,0.43888887763023376,1.5653918981552124
20,0.6114285588264465,1.0588037967681885,0.44333332777023315,1.5646878480911255
21,0.6178571581840515,1.0545932054519653,0.44333332777023315,1.565657138824463
22,0.6271428465843201,1.030701756477356,0.44999998807907104,1.5649174451828003
23,0.6095238327980042,1.0372861623764038,0.4511111080646515,1.5661321878433228
24,0.6183333396911621,1.0281996726989746,0.44777777791023254,1.563705563545227
25,0.6097618937492371,1.0387052297592163,0.44555556774139404,1.566622018814087
26,0.6276190280914307,1.0316746234893799,0.44777777791023254,1.5691771507263184
27,0.6200000047683716,1.0318681001663208,0.44777777791023254,1.5693720579147339
28,0.6228571534156799,1.0293939113616943,0.4444444477558136,1.5688667297363281
29,0.6235714554786682,1.022190809249878,0.4444444477558136,1.5700981616973877
30,0.6188095211982727,1.0229853391647339,0.4444444477558136,1.5708260536193848
31,0.6238095164299011,1.018429160118103,0.4444444477558136,1.5696378946304321
32,0.6259523630142212,1.012158989906311,0.4466666579246521,1.568993330001831
33,0.6238095164299011,1.0256648063659668,0.4466666579246521,1.5662137269973755
34,0.6259523630142212,1.0178085565567017,0.448888897895813,1.5674141645431519
35,0.628333330154419,1.0254486799240112,0.44555556774139404,1.567909598350525
36,0.6235714554786682,1.0241339206695557,0.4466666579246521,1.5685497522354126
37,0.5976190567016602,1.0470359325408936,0.44555556774139404,1.5685375928878784
38,0.618571400642395,1.0264846086502075,0.4444444477558136,1.5692720413208008
39,0.6088095307350159,1.0341753959655762,0.44555556774139404,1.5684298276901245
40,0.6266666650772095,1.0002655982971191,0.44555556774139404,1.568061351776123
41,0.6147618889808655,1.0347368717193604,0.44333332777023315,1.5697673559188843
42,0.6188095211982727,1.0225834846496582,0.4444444477558136,1.570745587348938
43,0.6142857074737549,1.027213454246521,0.4466666579246521,1.5691707134246826
44,0.6207143068313599,1.0319987535476685,0.44333332777023315,1.5701366662979126
45,0.6207143068313599,1.0427610874176025,0.44555556774139404,1.5703109502792358
46,0.6009523868560791,1.0544508695602417,0.4444444477558136,1.5692046880722046
47,0.6107142567634583,1.040964126586914,0.4444444477558136,1.5680131912231445
48,0.6261904835700989,1.0196561813354492,0.44555556774139404,1.567323923110962
49,0.6173809766769409,1.0398272275924683,0.44333332777023315,1.568961501121521
50,0.6183333396911621,1.0258338451385498,0.4466666579246521,1.5692789554595947
